location,metric,count
Carondelet,Mar 17 2023 - Negative,0
Carondelet,Mar 17 2023 - Positive,0
Carondelet,Mar 18 2023,0
Carondelet,Mar 18 2023 - Neutral,0
Carondelet,Mar 18 2023 - Negative,0
Carondelet,Mar 18 2023 - Positive,0
Carondelet,Mar 19 2023,0
Carondelet,Mar 19 2023 - Neutral,0
Carondelet,Mar 19 2023 - Negative,0
Carondelet,Mar 19 2023 - Positive,0
Carondelet,Mar 20 2023,0
Carondelet,Mar 20 2023 - Neutral,0
Carondelet,Mar 20 2023 - Negative,0
Carondelet,Mar 20 2023 - Positive,0
Carondelet,Mar 21 2023,0
Carondelet,Mar 21 2023 - Neutral,0
Carondelet,Mar 21 2023 - Negative,0
Carondelet,Mar 21 2023 - Positive,0
Carondelet,Mar 22 2023,0
Carondelet,Mar 22 2023 - Neutral,0
Carondelet,Mar 22 2023 - Negative,0
Carondelet,Mar 22 2023 - Positive,0
Carondelet,Mar 23 2023,0
Carondelet,Mar 23 2023 - Neutral,0
Carondelet,Mar 23 2023 - Negative,0
Carondelet,Mar 23 2023 - Positive,0
Carondelet,Mar 24 2023,0
Carondelet,Mar 24 2023 - Neutral,0
Carondelet,Mar 24 2023 - Negative,0
Carondelet,Mar 24 2023 - Positive,0
Carondelet,Mar 25 2023,0
Carondelet,Mar 25 2023 - Neutral,0
Carondelet,Mar 25 2023 - Negative,0
Carondelet,Mar 25 2023 - Positive,0
Carondelet,Mar 26 2023,0
Carondelet,Mar 26 2023 - Neutral,0
Carondelet,Mar 26 2023 - Negative,0
Carondelet,Mar 26 2023 - Positive,0
Carondelet,Mar 27 2023,0
Carondelet,Mar 27 2023 - Neutral,0
Carondelet,Mar 27 2023 - Negative,0
Carondelet,Mar 27 2023 - Positive,0
Carondelet,Mar 28 2023,0
Carondelet,Mar 28 2023 - Neutral,0
Carondelet,Mar 28 2023 - Negative,0
Carondelet,Mar 28 2023 - Positive,0
Carondelet,Mar 29 2023,0
Carondelet,Mar 29 2023 - Neutral,0
Carondelet,Mar 29 2023 - Negative,0
Carondelet,Mar 29 2023 - Positive,0
Carondelet,Mar 30 2023,0
Carondelet,Mar 30 2023 - Neutral,0
Carondelet,Mar 30 2023 - Negative,0
Carondelet,Mar 30 2023 - Positive,0
Carondelet,Mar 31 2023,0
Carondelet,Mar 31 2023 - Neutral,0
Carondelet,Mar 31 2023 - Negative,0
Carondelet,Mar 31 2023 - Positive,0
Central West End,Total,170
Central West End,Total - Neutral,127
Central West End,Total - Negative,9
Central West End,Total - Positive,31
Central West End,Feb,70
Central West End,Feb - Neutral,53
Central West End,Feb - Negative,5
Central West End,Feb - Positive,12
Central West End,Mar,100
Central West End,Mar - Neutral,74
Central West End,Mar - Negative,4
Central West End,Mar - Positive,19
Central West End,Feb 01 - Feb 07 2023,24
Central West End,Feb 01 - Feb 07 2023 - Neutral,16
Central West End,Feb 01 - Feb 07 2023 - Negative,4
Central West End,Feb 01 - Feb 07 2023 - Positive,4
Central West End,Feb 08 - Feb 14 2023,17
Central West End,Feb 08 - Feb 14 2023 - Neutral,15
Central West End,Feb 08 - Feb 14 2023 - Negative,0
Central West End,Feb 08 - Feb 14 2023 - Positive,2
Central West End,Feb 15 - Feb 21 2023,17
Central West End,Feb 15 - Feb 21 2023 - Neutral,13
Central West End,Feb 15 - Feb 21 2023 - Negative,0
Central West End,Feb 15 - Feb 21 2023 - Positive,4
Central West End,Feb 22 - Feb 28 2023,12
Central West End,Feb 22 - Feb 28 2023 - Neutral,9
Central West End,Feb 22 - Feb 28 2023 - Negative,1
Central West End,Feb 22 - Feb 28 2023 - Positive,2
Central West End,Mar 01 - Mar 07 2023,18
Central West End,Mar 01 - Mar 07 2023 - Neutral,12
Central West End,Mar 01 - Mar 07 2023 - Negative,0
Central West End,Mar 01 - Mar 07 2023 - Positive,5
Central West End,Mar 08 - Mar 14 2023,37
Central West End,Mar 08 - Mar 14 2023 - Neutral,28
Central West End,Mar 08 - Mar 14 2023 - Negative,2
Central West End,Mar 08 - Mar 14 2023 - Positive,6
Central West End,Mar 15 - Mar 21 2023,20
Central West End,Mar 15 - Mar 21 2023 - Neutral,13
Central West End,Mar 15 - Mar 21 2023 - Negative,2
Central West End,Mar 15 - Mar 21 2023 - Positive,5
Central West End,Mar 22 - Mar 28 2023,16
Central West End,Mar 22 - Mar 28 2023 - Neutral,14
Central West End,Mar 22 - Mar 28 2023 - Negative,0
Central West End,Mar 22 - Mar 28 2023 - Positive,1
Central West End,Mar 29 - Apr 04 2023,9
Central West End,Mar 29 - Apr 04 2023 - Neutral,7
Central West End,Mar 29 - Apr 04 2023 - Negative,0
Central West End,Mar 29 - Apr 04 2023 - Positive,2
Central West End,Feb 01 2023,2
Central West End,Feb 01 2023 - Neutral,0
Central West End,Feb 01 2023 - Negative,1
Central West End,Feb 01 2023 - Positive,1
Central West End,Feb 02 2023,5
Central West End,Feb 02 2023 - Neutral,5
Central West End,Feb 02 2023 - Negative,0
Central West End,Feb 02 2023 - Positive,0
Central West End,Feb 03 2023,6
Central West End,Feb 03 2023 - Neutral,4
Central West End,Feb 03 2023 - Negative,1
Central West End,Feb 03 2023 - Positive,1
Central West End,Feb 04 2023,6
Central West End,Feb 04 2023 - Neutral,3
Central West End,Feb 04 2023 - Negative,2
Central West End,Feb 04 2023 - Positive,1
Central West End,Feb 05 2023,1
Central West End,Feb 05 2023 - Neutral,1
Central West End,Feb 05 2023 - Negative,0
Central West End,Feb 05 2023 - Positive,0
Central West End,Feb 06 2023,2
Central West End,Feb 06 2023 - Neutral,2
Central West End,Feb 06 2023 - Negative,0
